player_name,player_team,FPTS,player_pos
Patrick Mahomes II,KC,384,QB
Josh Allen,BUF,380.6,QB
Jalen Hurts,PHI,376.6,QB
Lamar Jackson,BAL,351.1,QB
Joe Burrow,CIN,346.1,QB
Justin Fields,CHI,326.9,QB
Justin Herbert,LAC,321.6,QB
Deshaun Watson,CLE,311.4,QB
Dak Prescott,DAL,301.1,QB
Trevor Lawrence,JAC,300.9,QB
Kirk Cousins,MIN,300,QB
Daniel Jones,NYG,298.3,QB
Geno Smith,SEA,296.1,QB
Aaron Rodgers,NYJ,280.9,QB
Tua Tagovailoa,MIA,280.4,QB
Russell Wilson,DEN,279.6,QB
Jared Goff,DET,276.2,QB
Anthony Richardson,IND,271.3,QB
Derek Carr,NO,254.8,QB
Jordan Love,GB,252.4,QB
Kenny Pickett,PIT,251.8,QB
Matthew Stafford,LAR,247.8,QB
Brock Purdy,SF,243.2,QB
Bryce Young,CAR,238.1,QB
Jimmy Garoppolo,LV,227.9,QB
Ryan Tannehill,TEN,221.2,QB
C.J. Stroud,HOU,218.3,QB
Mac Jones,NE,217.8,QB
Sam Howell,WAS,216.8,QB
Kyler Murray,ARI,207.8,QB
Baker Mayfield,TB,192.9,QB
Desmond Ridder,ATL,192,QB
Jacoby Brissett,WAS,72.7,QB
Colt McCoy,ARI,72.1,QB
Trey Lance,SF,69.7,QB
Kyle Trask,TB,69.6,QB
Will Levis,TEN,55,QB
Brian Hoyer,LV,44.7,QB
Taylor Heinicke,ATL,43.4,QB
Gardner Minshew II,IND,38.1,QB
Mike White,MIA,33,QB
Brett Rypien,LAR,32.6,QB
Bailey Zappe,NE,30.8,QB
Sam Darnold,SF,30.6,QB
Clayton Tune,ARI,29.8,QB
Davis Mills,HOU,26.4,QB
Tyrod Taylor,NYG,24.9,QB
Marcus Mariota,PHI,23.8,QB
Tyler Huntley,BAL,22.9,QB
Andy Dalton,CAR,22.7,QB
Mitch Trubisky,PIT,22.6,QB
Jarrett Stidham,DEN,21.4,QB
Sean Clifford,GB,21,QB
Hendon Hooker,DET,19.9,QB
Teddy Bridgewater,DET,19.6,QB
Blaine Gabbert,KC,19.3,QB
Trevor Siemian,CIN,19.1,QB
Jameis Winston,NO,18.9,QB
Nick Mullens,MIN,18.7,QB
Zach Wilson,NYJ,18.4,QB
Stetson Bennett,LAR,18.3,QB
C.J. Beathard,JAC,17.8,QB
Easton Stick,LAC,17.7,QB
Drew Lock,SEA,17.5,QB
P.J. Walker,CHI,17.5,QB
Joshua Dobbs,ARI,17,QB
Cooper Rush,DAL,16.7,QB
Kyle Allen,BUF,15,QB
Aidan O'Connell,LV,14.6,QB
David Blough,ARI,14.5,QB
Matt Barkley,BUF,12.3,QB
Malik Willis,TEN,12.2,QB
Jeff Driskel,ARI,11.8,QB
Dorian Thompson-Robinson,CLE,11.4,QB
Max Duggan,LAC,10.1,QB
Jaren Hall,MIN,10,QB
Tanner McKee,PHI,9.4,QB
Jake Haener,NO,9.1,QB
Skylar Thompson,MIA,9.1,QB
Case Keenum,HOU,7.3,QB
Matt Corral,CAR,6.9,QB
Mason Rudolph,PIT,5.5,QB
Shane Buechele,KC,1.7,QB
Malik Cunningham,NE,1.6,QB
Nate Sudfeld,DET,1.5,QB
Tommy DeVito,NYG,1.3,QB
Will Grier,DAL,0.4,QB
Josh Johnson,BAL,0,QB
Christian McCaffrey,SF,270.2,RB
Austin Ekeler,LAC,262.8,RB
Derrick Henry,TEN,235.5,RB
Bijan Robinson,ATL,234.5,RB
Saquon Barkley,NYG,234.2,RB
Tony Pollard,DAL,233.5,RB
Nick Chubb,CLE,233.4,RB
Josh Jacobs,LV,229.5,RB
Jonathan Taylor,IND,215.6,RB
Joe Mixon,CIN,214.4,RB
Aaron Jones,GB,207.7,RB
Najee Harris,PIT,197.2,RB
Rhamondre Stevenson,NE,195.4,RB
Travis Etienne Jr.,JAC,192.3,RB
Alexander Mattison,MIN,191.4,RB
James Conner,ARI,188.2,RB
Kenneth Walker III,SEA,186.6,RB
Jahmyr Gibbs,DET,185.2,RB
Dameon Pierce,HOU,183.4,RB
Breece Hall,NYJ,179.8,RB
Rachaad White,TB,176.4,RB
Miles Sanders,CAR,174.8,RB
J.K. Dobbins,BAL,169.1,RB
Cam Akers,LAR,168.4,RB
Isiah Pacheco,KC,167.4,RB
James Cook,BUF,166.5,RB
David Montgomery,DET,164.6,RB
Alvin Kamara,NO,157,RB
Javonte Williams,DEN,153.6,RB
D'Andre Swift,PHI,145.8,RB
Khalil Herbert,CHI,143.2,RB
Dalvin Cook,NYJ,141.8,RB
AJ Dillon,GB,141.5,RB
Samaje Perine,DEN,138.9,RB
Antonio Gibson,WAS,136.4,RB
Brian Robinson Jr.,WAS,136.2,RB
Jeff Wilson Jr.,MIA,122.2,RB
Jamaal Williams,NO,117,RB
Raheem Mostert,MIA,114,RB
Rashaad Penny,PHI,113.2,RB
Elijah Mitchell,SF,108.6,RB
Zach Charbonnet,SEA,107.9,RB
Tyler Allgeier,ATL,106.2,RB
Jaylen Warren,PIT,105.2,RB
Jerick McKinnon,KC,101.3,RB
Ezekiel Elliott,NE,101.2,RB
Damien Harris,BUF,96.8,RB
Chuba Hubbard,CAR,96.8,RB
Kenneth Gainwell,PHI,96.5,RB
Devin Singletary,HOU,96.5,RB
De'Von Achane,MIA,91.4,RB
D'Onta Foreman,CHI,90.7,RB
Tank Bigsby,JAC,87.1,RB
Gus Edwards,BAL,82.1,RB
Cordarrelle Patterson,ATL,73.2,RB
Roschon Johnson,CHI,73,RB
Kyren Williams,LAR,71.5,RB
Tyjae Spears,TEN,70.9,RB
Joshua Kelley,LAC,69.9,RB
Chase Edmonds,TB,68.6,RB
Clyde Edwards-Helaire,KC,67.5,RB
Ty Chandler,MIN,66,RB
Chase Brown,CIN,63.6,RB
Jerome Ford,CLE,62.8,RB
Kendre Miller,NO,60.2,RB
Keaontay Ingram,ARI,58.3,RB
Latavius Murray,BUF,50.4,RB
Matt Breida,NYG,49.9,RB
Abram Smith,MIN,48.8,RB
Deuce Vaughn,DAL,48.4,RB
Kenyan Drake,IND,47.2,RB
Ronald Jones II,DAL,46.8,RB
Zack Moss,IND,46.3,RB
Isaiah Spiller,LAC,46,RB
Zamir White,LV,45.4,RB
Corey Clement,ARI,45,RB
Zach Evans,LAR,44.4,RB
Sean Tucker,TB,43.4,RB
JaMycal Hasty,JAC,41.7,RB
Michael Carter,NYJ,40.6,RB
Ameer Abdullah,LV,38.6,RB
Eric Gray,NYG,38.3,RB
Ke'Shawn Vaughn,TB,37.6,RB
Melvin Gordon III,BAL,36.5,RB
Evan Hull,IND,33.9,RB
Trayveon Williams,CIN,33.3,RB
Jordan Mason,SF,33.2,RB
Raheem Blackshear,CAR,33.2,RB
Chris Rodriguez Jr.,WAS,32.3,RB
Pierre Strong Jr.,NE,32.1,RB
Chris Evans,CIN,31.7,RB
Rico Dowdle,DAL,31.3,RB
Hassan Haskins,TEN,31.1,RB
Kene Nwangwu,MIN,30.2,RB
DeeJay Dallas,SEA,30,RB
Craig Reynolds,DET,28.9,RB
Ty Montgomery,NE,28.3,RB
Malik Davis,DAL,27.8,RB
DeWayne McBride,MIN,27.5,RB
Kyle Juszczyk,SF,27.5,RB
Anthony McFarland Jr.,PIT,27,RB
Deon Jackson,IND,26.2,RB
Dare Ogunbowale,HOU,25.7,RB
Boston Scott,PHI,25.7,RB
Kenny McIntosh,SEA,24.3,RB
Zonovan Knight,NYJ,24,RB
Tyrion Davis-Price,SF,23.8,RB
Travis Homer,CHI,23.4,RB
Tyler Badie,DEN,22.9,RB
Deneric Prince,KC,22.7,RB
Patrick Taylor Jr.,GB,22.6,RB
Demetric Felton Jr.,CLE,22.5,RB
D'Ernest Johnson,JAC,22.4,RB
Damien Williams,LV,21.7,RB
James Robinson,NYG,21.2,RB
Hunter Luepke,DAL,20.9,RB
Gary Brightwell,NYG,20.8,RB
Kevin Harris,NE,20.5,RB
Tony Jones Jr.,DEN,20.5,RB
Ty Johnson,BUF,20.1,RB
John Kelly Jr.,CLE,19.6,RB
Snoop Conner,JAC,18.3,RB
Salvon Ahmed,MIA,18.1,RB
Lew Nichols III,GB,17.8,RB
