pick_number,pick_round,pick_subnumber,team_id,fantasy_team,keeper_indicator,player_name,player_pos,player_team
1,1,1,1,Team 1,0,,,
2,1,2,2,Team 2,0,,,
3,1,3,3,Team 3,0,,,
4,1,4,4,Team 4,0,,,
5,1,5,5,Team 5,0,,,
6,1,6,6,Team 6,0,,,
7,1,7,7,Team 7,0,,,
8,1,8,8,Team 8,0,,,
9,1,9,9,Team 9,0,,,
10,1,10,10,Team 10,0,,,
11,1,11,11,Team 11,0,,,
12,1,12,12,Team 12,0,,,
13,2,1,12,Team 12,0,,,
14,2,2,11,Team 11,0,,,
15,2,3,10,Team 10,0,,,
16,2,4,9,Team 9,0,,,
17,2,5,8,Team 8,0,,,
18,2,6,7,Team 7,0,,,
19,2,7,6,Team 6,0,,,
20,2,8,5,Team 5,0,,,
21,2,9,4,Team 4,0,,,
22,2,10,3,Team 3,0,,,
23,2,11,2,Team 2,0,,,
24,2,12,1,Team 1,0,,,
25,3,1,1,Team 1,0,,,
26,3,2,2,Team 2,0,,,
27,3,3,3,Team 3,0,,,
28,3,4,4,Team 4,0,,,
29,3,5,5,Team 5,0,,,
30,3,6,6,Team 6,0,,,
31,3,7,7,Team 7,0,,,
32,3,8,8,Team 8,0,,,
33,3,9,9,Team 9,0,,,
34,3,10,10,Team 10,0,,,
35,3,11,11,Team 11,0,,,
36,3,12,12,Team 12,0,,,
37,4,1,12,Team 12,0,,,
38,4,2,11,Team 11,0,,,
39,4,3,10,Team 10,0,,,
40,4,4,9,Team 9,0,,,
41,4,5,8,Team 8,0,,,
42,4,6,7,Team 7,0,,,
43,4,7,6,Team 6,0,,,
44,4,8,5,Team 5,0,,,
45,4,9,4,Team 4,0,,,
46,4,10,3,Team 3,0,,,
47,4,11,2,Team 2,0,,,
48,4,12,1,Team 1,0,,,
49,5,1,1,Team 1,0,,,
50,5,2,2,Team 2,0,,,
51,5,3,3,Team 3,0,,,
52,5,4,4,Team 4,0,,,
53,5,5,5,Team 5,0,,,
54,5,6,6,Team 6,0,,,
55,5,7,7,Team 7,0,,,
56,5,8,8,Team 8,0,,,
57,5,9,9,Team 9,0,,,
58,5,10,10,Team 10,0,,,
59,5,11,11,Team 11,0,,,
60,5,12,12,Team 12,0,,,
61,6,1,12,Team 12,0,,,
62,6,2,11,Team 11,0,,,
63,6,3,10,Team 10,0,,,
64,6,4,9,Team 9,0,,,
65,6,5,8,Team 8,0,,,
66,6,6,7,Team 7,0,,,
67,6,7,6,Team 6,0,,,
68,6,8,5,Team 5,0,,,
69,6,9,4,Team 4,0,,,
70,6,10,3,Team 3,0,,,
71,6,11,2,Team 2,0,,,
72,6,12,1,Team 1,0,,,
73,7,1,1,Team 1,0,,,
74,7,2,2,Team 2,0,,,
75,7,3,3,Team 3,0,,,
76,7,4,4,Team 4,0,,,
77,7,5,5,Team 5,0,,,
78,7,6,6,Team 6,0,,,
79,7,7,7,Team 7,0,,,
